,Unnamed: 0,abv,ibu,id,name,style,brewery_id,ounces
341,341,0.068,,1517,Pink-I Raspberry IPA,American IPA,107,16.0
342,342,0.047,,1500,Moe's Original Bar B Que 'Bama Brew Golden Ale,American Blonde Ale,107,12.0
343,343,0.047,,1421,Live Local Golden Ale,American Blonde Ale,107,12.0
344,344,0.048,38.0,1360,Screaming Eagle Special Ale ESB,Extra Special / Strong Bitter (ESB),107,12.0
345,345,0.049,,1184,Dirtbag Dunkel,Munich Dunkel Lager,107,16.0
346,346,0.053,45.0,1183,Kindler Pale Ale,American Pale Ale (APA),107,12.0
347,347,0.064,,1023,Mistress Winter Wheat,Winter Warmer,107,12.0
348,348,0.061,,998,Tent Pole Vanilla Porter,American Porter,107,16.0
349,349,0.0579999999999999,,997,Awry Rye Pale Ale,American Pale Ale (APA),107,12.0
350,350,0.0579999999999999,,996,Demshitz Brown Ale,American Brown Ale,107,12.0
351,351,0.048,,931,Wood Splitter Pilsner (2012),Czech Pilsener,107,12.0
352,352,0.048,,798,Brush Creek Blonde,American Blonde Ale,107,16.0
353,353,0.066,72.0,633,Firestarter India Pale Ale,American IPA,107,16.0
354,354,0.071,16.0,2062,Noche Dulce,American Porter,231,16.0
355,355,0.045,8.0,1830,Porch Rocker,Radler,300,12.0
356,356,0.065,45.0,1629,Rebel IPA,American IPA,300,16.0
357,357,0.055,,1601,Cold Snap,Witbier,300,12.0
358,358,0.0559999999999999,,1427,Samuel Adams Winter Lager,Bock,300,12.0
359,359,0.049,30.0,1349,Boston Lager,Vienna Lager,300,16.0
360,360,0.049,30.0,1310,Boston Lager,Vienna Lager,300,12.0
361,361,0.053,15.0,1281,Samuel Adams Octoberfest,Märzen / Oktoberfest,300,12.0
362,362,0.053,7.0,1144,Samuel Adams Summer Ale,American Pale Wheat Ale,300,12.0
363,363,0.049,30.0,1143,Boston Lager,Vienna Lager,300,12.0
364,364,0.049,35.0,1395,Hazed & Infused,American Pale Ale (APA),417,12.0
365,365,0.057,35.0,808,Hoopla Pale Ale,American Pale Ale (APA),417,12.0
366,366,0.049,35.0,81,Hazed & Infused (2010),American Pale Ale (APA),417,12.0
367,367,0.062,80.0,2596,Heavy Lifting,American IPA,31,12.0
368,368,0.065,,2300,1492,American Pale Ale (APA),167,12.0
369,369,0.0579999999999999,,2299,Mango Ginger,American IPA,167,12.0
370,370,0.047,,2298,Passenger,English Dark Mild Ale,167,12.0
371,371,0.06,52.0,2107,Plum St. Porter,American Porter,219,12.0
372,372,0.057,52.0,1573,Plum St. Porter,American Porter,219,12.0
373,373,0.07,80.0,1289,Bozone HopZone IPA,American IPA,219,12.0
374,374,0.06,25.0,1288,Bozone Hefe Weizen,Hefeweizen,219,12.0
375,375,0.055,,470,Bozone Select Amber Ale,American Amber / Red Ale,219,12.0
376,376,0.052,40.0,2167,Evil Owl,American Amber / Red Ale,207,12.0
377,377,0.05,,2204,Post Time Kölsch,Kölsch,195,16.0
378,378,0.042,9.0,1522,Agave Wheat,American Pale Wheat Ale,391,12.0
379,379,0.045,15.0,397,SummerBright Ale,American Pale Wheat Ale,391,12.0
380,380,0.062,68.0,193,Lucky U IPA,American IPA,391,12.0
381,381,0.054,19.0,83,Avalanche Ale,American Amber / Red Ale,391,12.0
382,382,0.05,,1802,"You're My Boy, Blue",Fruit / Vegetable Beer,308,12.0
383,383,0.072,60.0,1801,Last Stop IPA,American IPA,308,12.0
384,384,0.05,21.0,1800,Rollin Dirty Red Ale,Irish Red Ale,308,12.0
385,385,0.055,28.0,1799,Are Wheat There Yet?,American Pale Wheat Ale,308,12.0
386,386,0.0579999999999999,,2619,Insert Hop Reference,American Pale Ale (APA),19,16.0
387,387,0.053,,2468,Manitou Amber,American Amber / Red Ale,85,16.0
388,388,0.067,,2637,Belfort,Saison / Farmhouse Ale,10,16.0
389,389,0.06,,2636,Star Runner,Belgian Pale Ale,10,16.0
390,390,0.098,,2598,Tart Side of the Barrel,American Double / Imperial Stout,10,16.0
391,391,0.06,,2597,Linnaeus Mango IPA,American IPA,10,16.0
392,392,0.07,,2548,Beasts A'Burnin',Rauchbier,10,16.0
393,393,0.077,,2542,Verdun,Bière de Garde,10,16.0
394,394,0.065,,2541,Barrel Aged Triomphe,Belgian IPA,10,16.0
395,395,0.065,,2504,Cherry Doppelbock,Doppelbock,10,16.0
396,396,0.065,,2500,Tropical Saison,Saison / Farmhouse Ale,10,16.0
397,397,0.065,,2499,Beach Patrol,Witbier,10,16.0
398,398,0.05,,2498,Nuit Serpent,Belgian IPA,10,16.0
399,399,0.09,,2481,Paris,Saison / Farmhouse Ale,10,16.0
400,400,0.055,,2476,The Grand Army,Belgian IPA,10,16.0
401,401,0.059,,2467,Acidulated Trip,Saison / Farmhouse Ale,10,16.0
402,402,0.066,,2466,Root Stock,Rye Beer,10,16.0
403,403,0.0409999999999999,,2465,Mind Games,Dunkelweizen,10,16.0
404,404,0.0819999999999999,,2433,Sous Chef,Belgian Strong Pale Ale,10,16.0
405,405,0.065,,2418,Dubbelicious,Dubbel,10,16.0
406,406,0.062,,2416,Psychopomp,Belgian Dark Ale,10,16.0
407,407,,,2382,Fat Paczki,Belgian Dark Ale,10,16.0
408,408,,,2381,Earth-Like Planets,Belgian Pale Ale,10,16.0
409,409,0.061,,2290,Ski Patrol,Witbier,10,16.0
410,410,0.063,,2241,Viking Ice Hole,Oatmeal Stout,10,16.0
411,411,0.0559999999999999,,2240,Rye Porter,American Porter,10,16.0
412,412,0.099,,2137,Wizard Burial Ground,Quadrupel (Quad),10,16.0
413,413,0.051,,2101,Smoky Wheat,Rauchbier,10,16.0
414,414,0.062,,2092,BRIPA,Belgian IPA,10,16.0
415,415,0.062,,2091,Mela,Belgian Dark Ale,10,16.0
416,416,0.053,,2086,W.I.P.A Snappa,Belgian IPA,10,16.0
417,417,0.063,,2023,Pepper in the Rye,Rye Beer,10,16.0
418,418,0.064,,2006,Moe Lasses',American Stout,10,16.0
419,419,0.07,,1997,Pumpkin Tart,Fruit / Vegetable Beer,10,16.0
420,420,0.067,,1977,Undertaker,Belgian Dark Ale,10,16.0
421,421,0.067,,1976,Undertaker (2014),Belgian Dark Ale,10,16.0
422,422,0.05,,1974,Coq D'Or,Belgian Pale Ale,10,16.0
423,423,0.06,,1973,North French,Bière de Garde,10,16.0
424,424,0.065,,1959,Agent a Deux,Belgian Dark Ale,10,16.0
425,425,0.045,,1958,Belgian Wit,Witbier,10,16.0
426,426,0.063,,1949,Pothole Stout,American Stout,10,16.0
427,427,0.093,,1947,Tree Bucket,Belgian IPA,10,16.0
428,428,0.073,,1785,Le Flaneur Ale,American Wild Ale,10,16.0
429,429,0.0559999999999999,,1651,Maize & Blueberry,Fruit / Vegetable Beer,10,16.0
430,430,0.093,,1443,Trebuchet Double IPA,American Double / Imperial IPA,10,16.0
431,431,0.065,,1352,Contemplation,Bière de Garde,10,16.0
432,432,0.05,,1267,Black Rabbit,American Black Ale,10,16.0
433,433,0.09,,1266,Zaison,Saison / Farmhouse Ale,10,16.0
