name, column_name, n_tuples,n_attributes,p_num_var,p_cat_var,p_duplicates,total_size,column_uniqueness,column_density,column_entropy,p_correlated_features,max_pearson,min_pearson,column_type,mean,std,%missing,ML_ALGORITHM,BEST_METHOD1,SCORE1,BEST_METHOD2,SCORE2,BEST_METHOD3,SCORE3
iris,petal_width,150,5,1.0,0.0,0.02,6128,0.1467,0.0411,2.8181,0.8,0.9628,-0.4205,numerical,1.1987,0.7632,0.2892,lr,impute_knn,0.9416832853172814,impute_linear_regression,0.9407679147182191,impute_mean,0.9361839822363431
iris,petal_width,150,5,1.0,0.0,0.02,6128,0.1467,0.0411,2.8181,0.8,0.9628,-0.4205,numerical,1.1987,0.7632,0.21,lr,impute_linear_regression,0.9471315858256796,impute_knn,0.9435001804882865,impute_std,0.9296649382286581
iris,petal_width,150,5,1.0,0.0,0.02,6128,0.1467,0.0411,2.8181,0.8,0.9628,-0.4205,numerical,1.1987,0.7632,0.0917,lr,impute_linear_regression,0.9498995801121406,impute_knn,0.9490028054238745,impute_median,0.9357494047785815
iris,petal_width,150,5,1.0,0.0,0.02,6128,0.1467,0.0411,2.8181,0.8,0.9628,-0.4205,numerical,1.1987,0.7632,0.4942,knn,impute_knn,0.9491700129597948,impute_mean,0.902783192003127,no_impute,0.9019019599094812
iris,petal_width,150,5,1.0,0.0,0.02,6128,0.1467,0.0411,2.8181,0.8,0.9628,-0.4205,numerical,1.1987,0.7632,0.4017,knn,impute_linear_regression,0.941441329953692,impute_knn,0.9362488805028955,impute_median,0.9203254530099592
iris,petal_width,150,5,1.0,0.0,0.02,6128,0.1467,0.0411,2.8181,0.8,0.9628,-0.4205,numerical,1.1987,0.7632,0.2892,knn,impute_knn,0.9417221573445437,impute_linear_regression,0.9414862457674958,impute_median,0.9299062482397216
iris,petal_width,150,5,1.0,0.0,0.02,6128,0.1467,0.0411,2.8181,0.8,0.9628,-0.4205,numerical,1.1987,0.7632,0.21,knn,impute_knn,0.9481210252318683,impute_linear_regression,0.9480486642518966,impute_mean,0.9373574130789561
iris,petal_width,150,5,1.0,0.0,0.02,6128,0.1467,0.0411,2.8181,0.8,0.9628,-0.4205,numerical,1.1987,0.7632,0.0917,knn,impute_linear_regression,0.9544804763801179,impute_knn,0.9544683337820102,impute_median,0.9458388126768524
iris,petal_width,150,5,1.0,0.0,0.02,6128,0.1467,0.0411,2.8181,0.8,0.9628,-0.4205,numerical,1.1987,0.7632,0.4942,nb,impute_knn,0.9257217183020519,impute_linear_regression,0.9245626040813987,impute_median,0.9216279968582036
iris,petal_width,150,5,1.0,0.0,0.02,6128,0.1467,0.0411,2.8181,0.8,0.9628,-0.4205,numerical,1.1987,0.7632,0.4017,nb,impute_knn,0.9377839654581206,impute_linear_regression,0.9341492093175121,impute_median,0.9266061373779764
iris,petal_width,150,5,1.0,0.0,0.02,6128,0.1467,0.0411,2.8181,0.8,0.9628,-0.4205,numerical,1.1987,0.7632,0.2892,nb,impute_knn,0.9461793615988763,impute_linear_regression,0.9397277391597166,impute_median,0.9300702328987931
iris,petal_width,150,5,1.0,0.0,0.02,6128,0.1467,0.0411,2.8181,0.8,0.9628,-0.4205,numerical,1.1987,0.7632,0.21,nb,impute_median,0.9405576103843247,impute_linear_regression,0.9396783071167519,impute_knn,0.9396657257918055
iris,petal_width,150,5,1.0,0.0,0.02,6128,0.1467,0.0411,2.8181,0.8,0.9628,-0.4205,numerical,1.1987,0.7632,0.0917,nb,impute_std,0.9426154352707786,impute_knn,0.9425190574933446,impute_linear_regression,0.9415724276336712
cancer,Uniformity_of_Cell_Size,683,5,1.0,0.0,0.6149,27448,0.0146,0.9819,1.6246,1.0,0.9072,0.6806,numerical,3.1508,3.0651,0.5035,dt,impute_random,0.9448218857254567,impute_median,0.9445573781648477,impute_standard,0.9429111003751669
cancer,Uniformity_of_Cell_Size,683,5,1.0,0.0,0.6149,27448,0.0146,0.9819,1.6246,1.0,0.9072,0.6806,numerical,3.1508,3.0651,0.3977,dt,impute_random,0.9452436695912441,impute_linear_regression,0.944493778941972,impute_standard,0.9426985284791555
cancer,Uniformity_of_Cell_Size,683,5,1.0,0.0,0.6149,27448,0.0146,0.9819,1.6246,1.0,0.9072,0.6806,numerical,3.1508,3.0651,0.3007,dt,impute_mode,0.9433262263051271,impute_random,0.942453883375067,impute_knn,0.9421354995753431
cancer,Uniformity_of_Cell_Size,683,5,1.0,0.0,0.6149,27448,0.0146,0.9819,1.6246,1.0,0.9072,0.6806,numerical,3.1508,3.0651,0.2066,dt,impute_mode,0.9402158052288025,impute_knn,0.9398343964826631,impute_random,0.9398311211939105
cancer,Uniformity_of_Cell_Size,683,5,1.0,0.0,0.6149,27448,0.0146,0.9819,1.6246,1.0,0.9072,0.6806,numerical,3.1508,3.0651,0.0966,dt,impute_mean,0.9439602875579176,impute_median,0.9437651764470248,impute_std,0.9437436042435414
cancer,Uniformity_of_Cell_Size,683,5,1.0,0.0,0.6149,27448,0.0146,0.9819,1.6246,1.0,0.9072,0.6806,numerical,3.1508,3.0651,0.5035,lr,impute_knn,0.957780325319759,impute_standard,0.955738777231697,impute_linear_regression,0.9557267028472998
cancer,Uniformity_of_Cell_Size,683,5,1.0,0.0,0.6149,27448,0.0146,0.9819,1.6246,1.0,0.9072,0.6806,numerical,3.1508,3.0651,0.3977,lr,impute_linear_regression,0.9581812391949017,impute_knn,0.9573408791740742,impute_std,0.9571679529963676
cancer,Uniformity_of_Cell_Size,683,5,1.0,0.0,0.6149,27448,0.0146,0.9819,1.6246,1.0,0.9072,0.6806,numerical,3.1508,3.0651,0.3007,lr,impute_knn,0.9560801269717374,impute_linear_regression,0.9558948231729067,impute_std,0.9552830907369069
cancer,Uniformity_of_Cell_Size,683,5,1.0,0.0,0.6149,27448,0.0146,0.9819,1.6246,1.0,0.9072,0.6806,numerical,3.1508,3.0651,0.2066,lr,no_impute,0.9546576780200531,impute_knn,0.9544041724611543,impute_std,0.9542566549740165
cancer,Uniformity_of_Cell_Size,683,5,1.0,0.0,0.6149,27448,0.0146,0.9819,1.6246,1.0,0.9072,0.6806,numerical,3.1508,3.0651,0.0966,lr,impute_standard,0.9543162383839189,impute_random,0.9540538706084071,impute_mode,0.9536663232188667
cancer,Uniformity_of_Cell_Size,683,5,1.0,0.0,0.6149,27448,0.0146,0.9819,1.6246,1.0,0.9072,0.6806,numerical,3.1508,3.0651,0.5035,knn,impute_knn,0.9628903932602525,no_impute,0.9614630757289502,impute_std,0.961031701852291
cancer,Uniformity_of_Cell_Size,683,5,1.0,0.0,0.6149,27448,0.0146,0.9819,1.6246,1.0,0.9072,0.6806,numerical,3.1508,3.0651,0.3977,knn,no_impute,0.9575739984911318,impute_std,0.9558982165286695,impute_linear_regression,0.9554985422618483
cancer,Uniformity_of_Cell_Size,683,5,1.0,0.0,0.6149,27448,0.0146,0.9819,1.6246,1.0,0.9072,0.6806,numerical,3.1508,3.0651,0.3007,knn,impute_linear_regression,0.9567049381691182,impute_mode,0.9558484309326315,impute_median,0.9558484309326315
cancer,Uniformity_of_Cell_Size,683,5,1.0,0.0,0.6149,27448,0.0146,0.9819,1.6246,1.0,0.9072,0.6806,numerical,3.1508,3.0651,0.2066,knn,no_impute,0.9581240516702091,impute_mean,0.9575190108544133,impute_std,0.9575190108544133
cancer,Uniformity_of_Cell_Size,683,5,1.0,0.0,0.6149,27448,0.0146,0.9819,1.6246,1.0,0.9072,0.6806,numerical,3.1508,3.0651,0.0966,knn,impute_linear_regression,0.9556761319431044,impute_knn,0.9554507329975361,impute_mean,0.955255273187897
cancer,Uniformity_of_Cell_Size,683,5,1.0,0.0,0.6149,27448,0.0146,0.9819,1.6246,1.0,0.9072,0.6806,numerical,3.1508,3.0651,0.5035,nb,impute_mode,0.9571072410034799,impute_median,0.9571072410034799,impute_standard,0.9568934625375508
cancer,Uniformity_of_Cell_Size,683,5,1.0,0.0,0.6149,27448,0.0146,0.9819,1.6246,1.0,0.9072,0.6806,numerical,3.1508,3.0651,0.3977,nb,impute_mode,0.9550816866961822,impute_median,0.9550816866961822,impute_knn,0.9546816490279524
cancer,Uniformity_of_Cell_Size,683,5,1.0,0.0,0.6149,27448,0.0146,0.9819,1.6246,1.0,0.9072,0.6806,numerical,3.1508,3.0651,0.3007,nb,impute_knn,0.9557183593743175,impute_standard,0.9538570241090665,impute_mode,0.9528281472608303
cancer,Uniformity_of_Cell_Size,683,5,1.0,0.0,0.6149,27448,0.0146,0.9819,1.6246,1.0,0.9072,0.6806,numerical,3.1508,3.0651,0.2066,nb,impute_mode,0.954477653682159,impute_median,0.954477653682159,impute_knn,0.9534840837870401
cancer,Uniformity_of_Cell_Size,683,5,1.0,0.0,0.6149,27448,0.0146,0.9819,1.6246,1.0,0.9072,0.6806,numerical,3.1508,3.0651,0.0966,nb,impute_knn,0.9532683448193603,impute_linear_regression,0.9526510895282595,impute_mode,0.9526453006595067
cancer,Uniformity_of_Cell_Shape,683,5,1.0,0.0,0.6149,27448,0.0146,0.9599,1.7253,1.0,0.9072,0.6806,numerical,3.2152,2.9886,0.5035,dt,impute_median,0.9398106086823299,impute_standard,0.9386077252429517,impute_mode,0.9381417847972073
cancer,Uniformity_of_Cell_Shape,683,5,1.0,0.0,0.6149,27448,0.0146,0.9599,1.7253,1.0,0.9072,0.6806,numerical,3.2152,2.9886,0.3977,dt,impute_random,0.9401792502999733,impute_standard,0.9397059670082758,impute_median,0.9382861220370995
cancer,Uniformity_of_Cell_Shape,683,5,1.0,0.0,0.6149,27448,0.0146,0.9599,1.7253,1.0,0.9072,0.6806,numerical,3.2152,2.9886,0.3007,dt,impute_mode,0.9424134027998866,impute_random,0.9419270723453222,impute_std,0.9401804656571406
cancer,Uniformity_of_Cell_Shape,683,5,1.0,0.0,0.6149,27448,0.0146,0.9599,1.7253,1.0,0.9072,0.6806,numerical,3.2152,2.9886,0.2066,dt,impute_linear_regression,0.9467631823889102,no_impute,0.9466198460285852,impute_median,0.94609671581405
cancer,Uniformity_of_Cell_Shape,683,5,1.0,0.0,0.6149,27448,0.0146,0.9599,1.7253,1.0,0.9072,0.6806,numerical,3.2152,2.9886,0.0966,dt,impute_knn,0.9465296329205094,impute_std,0.9463795769029686,impute_mode,0.9457312438065929
