name,n_tuples,n_attributes,p_num_var,p_cat_var,p_duplicates,total_size,p_avg_distinct,p_max_distinct,p_min_distinct,avg_density,max_density,min_density,avg_entropy,max_entropy,min_entropy,p_correlated_features,max_pearson,min_pearson,ML_ALGORITHM,ERROR_TYPE,BEST_METHOD
house,501,75,0.48,0.52,0.0,300728,0.1009,0.8064,0.002,5.8949,37.2006,0.0,1.4975,5.8662,-0.0,0.2222,0.8849,-0.5102,DECISION_TREES,row-based,DROP_ROWS
house,501,75,0.48,0.52,0.0,300728,0.1009,0.8064,0.002,5.8949,37.2006,0.0,1.4975,5.8662,-0.0,0.2222,0.8849,-0.5102,KNN,uniform,MICE
house,501,75,0.48,0.52,0.0,300728,0.1009,0.8064,0.002,5.8949,37.2006,0.0,1.4975,5.8662,-0.0,0.2222,0.8849,-0.5102,KNN,column-based,KNN
house,501,75,0.48,0.52,0.0,300728,0.1009,0.8064,0.002,5.8949,37.2006,0.0,1.4975,5.8662,-0.0,0.2222,0.8849,-0.5102,KNN,row-based,MICE
house,501,75,0.48,0.52,0.0,300728,0.1009,0.8064,0.002,5.8949,37.2006,0.0,1.4975,5.8662,-0.0,0.2222,0.8849,-0.5102,NAIVE_BAYES,uniform,STD
house,501,75,0.48,0.52,0.0,300728,0.1009,0.8064,0.002,5.8949,37.2006,0.0,1.4975,5.8662,-0.0,0.2222,0.8849,-0.5102,NAIVE_BAYES,column-based,MEAN
house,501,75,0.48,0.52,0.0,300728,0.1009,0.8064,0.002,5.8949,37.2006,0.0,1.4975,5.8662,-0.0,0.2222,0.8849,-0.5102,NAIVE_BAYES,row-based,STD
house,501,75,0.48,0.52,0.0,300728,0.1009,0.8064,0.002,5.8949,37.2006,0.0,1.4975,5.8662,-0.0,0.2222,0.8849,-0.5102,LOGISTIC_REGR,uniform,NOP
house,501,75,0.48,0.52,0.0,300728,0.1009,0.8064,0.002,5.8949,37.2006,0.0,1.4975,5.8662,-0.0,0.2222,0.8849,-0.5102,LOGISTIC_REGR,column-based,NOP
house,501,75,0.48,0.52,0.0,300728,0.1009,0.8064,0.002,5.8949,37.2006,0.0,1.4975,5.8662,-0.0,0.2222,0.8849,-0.5102,LOGISTIC_REGR,row-based,DROP_ROWS
bank,3074,17,0.41,0.59,0.0,418192,0.0581,0.5917,0.0007,7.741,36.4021,0.0,1.9746,6.9959,0.0764,0.0,0.6061,-0.0901,DECISION_TREES,uniform,MICE
bank,3074,17,0.41,0.59,0.0,418192,0.0581,0.5917,0.0007,7.741,36.4021,0.0,1.9746,6.9959,0.0764,0.0,0.6061,-0.0901,DECISION_TREES,column-based,MICE
bank,3074,17,0.41,0.59,0.0,418192,0.0581,0.5917,0.0007,7.741,36.4021,0.0,1.9746,6.9959,0.0764,0.0,0.6061,-0.0901,DECISION_TREES,row-based,DROP_ROWS
bank,3074,17,0.41,0.59,0.0,418192,0.0581,0.5917,0.0007,7.741,36.4021,0.0,1.9746,6.9959,0.0764,0.0,0.6061,-0.0901,KNN,uniform,MICE
bank,3074,17,0.41,0.59,0.0,418192,0.0581,0.5917,0.0007,7.741,36.4021,0.0,1.9746,6.9959,0.0764,0.0,0.6061,-0.0901,KNN,column-based,MICE
bank,3074,17,0.41,0.59,0.0,418192,0.0581,0.5917,0.0007,7.741,36.4021,0.0,1.9746,6.9959,0.0764,0.0,0.6061,-0.0901,KNN,row-based,MICE
