name,n_tuples,n_attributes,p_num_var,p_cat_var,p_duplicates,total_size,p_avg_distinct,p_max_distinct,p_min_distinct,avg_density,max_density,min_density,avg_entropy,max_entropy,min_entropy,p_correlated_features,max_pearson,min_pearson,%missing,ML_ALGORITHM,BEST_METHOD
users,322,5,0.0,1.0,0.9534,13008,0.0112,0.0124,0.0062,6.8886,14.9068,3.5393,0.9817,1.2812,0.6119,nan,nan,nan,0.3286,lr,impute_bfill
users,322,5,0.0,1.0,0.9534,13008,0.0112,0.0124,0.0062,6.8886,14.9068,3.5393,0.9817,1.2812,0.6119,nan,nan,nan,0.2385,lr,impute_bfill
users,322,5,0.0,1.0,0.9534,13008,0.0112,0.0124,0.0062,6.8886,14.9068,3.5393,0.9817,1.2812,0.6119,nan,nan,nan,0.162,lr,impute_bfill
users,322,5,0.0,1.0,0.9534,13008,0.0112,0.0124,0.0062,6.8886,14.9068,3.5393,0.9817,1.2812,0.6119,nan,nan,nan,0.0801,lr,impute_bfill
users,322,5,0.0,1.0,0.9534,13008,0.0112,0.0124,0.0062,6.8886,14.9068,3.5393,0.9817,1.2812,0.6119,nan,nan,nan,0.3984,knn,impute_bfill
users,322,5,0.0,1.0,0.9534,13008,0.0112,0.0124,0.0062,6.8886,14.9068,3.5393,0.9817,1.2812,0.6119,nan,nan,nan,0.3286,knn,impute_bfill
users,322,5,0.0,1.0,0.9534,13008,0.0112,0.0124,0.0062,6.8886,14.9068,3.5393,0.9817,1.2812,0.6119,nan,nan,nan,0.2385,knn,impute_bfill
users,322,5,0.0,1.0,0.9534,13008,0.0112,0.0124,0.0062,6.8886,14.9068,3.5393,0.9817,1.2812,0.6119,nan,nan,nan,0.162,knn,impute_bfill
users,322,5,0.0,1.0,0.9534,13008,0.0112,0.0124,0.0062,6.8886,14.9068,3.5393,0.9817,1.2812,0.6119,nan,nan,nan,0.0801,knn,impute_bfill
users,322,5,0.0,1.0,0.9534,13008,0.0112,0.0124,0.0062,6.8886,14.9068,3.5393,0.9817,1.2812,0.6119,nan,nan,nan,0.3984,nb,impute_mice
users,322,5,0.0,1.0,0.9534,13008,0.0112,0.0124,0.0062,6.8886,14.9068,3.5393,0.9817,1.2812,0.6119,nan,nan,nan,0.3286,nb,impute_mice
users,322,5,0.0,1.0,0.9534,13008,0.0112,0.0124,0.0062,6.8886,14.9068,3.5393,0.9817,1.2812,0.6119,nan,nan,nan,0.2385,nb,impute_mice
users,322,5,0.0,1.0,0.9534,13008,0.0112,0.0124,0.0062,6.8886,14.9068,3.5393,0.9817,1.2812,0.6119,nan,nan,nan,0.162,nb,impute_mice
users,322,5,0.0,1.0,0.9534,13008,0.0112,0.0124,0.0062,6.8886,14.9068,3.5393,0.9817,1.2812,0.6119,nan,nan,nan,0.0801,nb,impute_mice
german,1000,10,0.4,0.6,0.0,80128,0.1033,0.921,0.002,6.2992,15.0,0.0,1.9213,6.7956,0.6109,0.0,0.625,-0.0361,0.4516,dt,impute_soft
german,1000,10,0.4,0.6,0.0,80128,0.1033,0.921,0.002,6.2992,15.0,0.0,1.9213,6.7956,0.6109,0.0,0.625,-0.0361,0.3583,dt,impute_soft
german,1000,10,0.4,0.6,0.0,80128,0.1033,0.921,0.002,6.2992,15.0,0.0,1.9213,6.7956,0.6109,0.0,0.625,-0.0361,0.2712,dt,impute_median
german,1000,10,0.4,0.6,0.0,80128,0.1033,0.921,0.002,6.2992,15.0,0.0,1.9213,6.7956,0.6109,0.0,0.625,-0.0361,0.1809,dt,impute_median
german,1000,10,0.4,0.6,0.0,80128,0.1033,0.921,0.002,6.2992,15.0,0.0,1.9213,6.7956,0.6109,0.0,0.625,-0.0361,0.0908,dt,impute_linear_and_logistic
german,1000,10,0.4,0.6,0.0,80128,0.1033,0.921,0.002,6.2992,15.0,0.0,1.9213,6.7956,0.6109,0.0,0.625,-0.0361,0.4516,lr,impute_std
german,1000,10,0.4,0.6,0.0,80128,0.1033,0.921,0.002,6.2992,15.0,0.0,1.9213,6.7956,0.6109,0.0,0.625,-0.0361,0.3583,lr,impute_mice
german,1000,10,0.4,0.6,0.0,80128,0.1033,0.921,0.002,6.2992,15.0,0.0,1.9213,6.7956,0.6109,0.0,0.625,-0.0361,0.2712,lr,no_impute
german,1000,10,0.4,0.6,0.0,80128,0.1033,0.921,0.002,6.2992,15.0,0.0,1.9213,6.7956,0.6109,0.0,0.625,-0.0361,0.1809,lr,impute_mice
german,1000,10,0.4,0.6,0.0,80128,0.1033,0.921,0.002,6.2992,15.0,0.0,1.9213,6.7956,0.6109,0.0,0.625,-0.0361,0.0908,lr,impute_median
german,1000,10,0.4,0.6,0.0,80128,0.1033,0.921,0.002,6.2992,15.0,0.0,1.9213,6.7956,0.6109,0.0,0.625,-0.0361,0.4516,knn,impute_knn
german,1000,10,0.4,0.6,0.0,80128,0.1033,0.921,0.002,6.2992,15.0,0.0,1.9213,6.7956,0.6109,0.0,0.625,-0.0361,0.3583,knn,impute_mode
