name, column_name, n_tuples,n_attributes,p_num_var,p_cat_var,p_duplicates,total_size,column_uniqueness,column_density,column_entropy,p_correlated_features,max_pearson,min_pearson,column_type,mean,std,ML_ALGORITHM,BEST_METHOD
bank,day,3074,5,0.8,0.2,0.0,123088,0.0101,0.0023,3.3469,0.0,0.0808,-0.0227,numerical,16.025,8.2435,knn,impute_knn
bank,day,3074,5,0.8,0.2,0.0,123088,0.0101,0.0023,3.3469,0.0,0.0808,-0.0227,numerical,16.025,8.2435,nb,impute_mode
german,Credit_amount,1000,5,0.6,0.4,0.0,40128,0.921,0.0,6.7956,0.0,0.625,-0.0361,numerical,3271.258,2822.7369,dt,impute_standard
german,Credit_amount,1000,5,0.6,0.4,0.0,40128,0.921,0.0,6.7956,0.0,0.625,-0.0361,numerical,3271.258,2822.7369,lr,impute_standard
german,Credit_amount,1000,5,0.6,0.4,0.0,40128,0.921,0.0,6.7956,0.0,0.625,-0.0361,numerical,3271.258,2822.7369,knn,impute_mode
german,Credit_amount,1000,5,0.6,0.4,0.0,40128,0.921,0.0,6.7956,0.0,0.625,-0.0361,numerical,3271.258,2822.7369,nb,impute_knn
german,Age,1000,5,0.6,0.4,0.0,40128,0.053,0.0306,3.6527,0.0,0.625,-0.0361,numerical,35.546,11.3755,dt,impute_knn
german,Age,1000,5,0.6,0.4,0.0,40128,0.053,0.0306,3.6527,0.0,0.625,-0.0361,numerical,35.546,11.3755,lr,impute_standard
german,Age,1000,5,0.6,0.4,0.0,40128,0.053,0.0306,3.6527,0.0,0.625,-0.0361,numerical,35.546,11.3755,knn,impute_mode
german,Age,1000,5,0.6,0.4,0.0,40128,0.053,0.0306,3.6527,0.0,0.625,-0.0361,numerical,35.546,11.3755,nb,impute_standard
german,Duration,1000,5,0.6,0.4,0.0,40128,0.033,0.0916,2.6095,0.0,0.625,-0.0361,numerical,20.903,12.0588,dt,impute_linear_regression
german,Duration,1000,5,0.6,0.4,0.0,40128,0.033,0.0916,2.6095,0.0,0.625,-0.0361,numerical,20.903,12.0588,lr,impute_linear_regression
german,Duration,1000,5,0.6,0.4,0.0,40128,0.033,0.0916,2.6095,0.0,0.625,-0.0361,numerical,20.903,12.0588,knn,impute_knn
german,Duration,1000,5,0.6,0.4,0.0,40128,0.033,0.0916,2.6095,0.0,0.625,-0.0361,numerical,20.903,12.0588,nb,impute_linear_regression
german,Purpose,1000,5,0.6,0.4,0.0,40128,0.008,1.5969,1.6158,0.0,0.625,-0.0361,categorical,None,None,dt,impute_knn
german,Purpose,1000,5,0.6,0.4,0.0,40128,0.008,1.5969,1.6158,0.0,0.625,-0.0361,categorical,None,None,lr,impute_mode
german,Purpose,1000,5,0.6,0.4,0.0,40128,0.008,1.5969,1.6158,0.0,0.625,-0.0361,categorical,None,None,knn,impute_standard
german,Purpose,1000,5,0.6,0.4,0.0,40128,0.008,1.5969,1.6158,0.0,0.625,-0.0361,categorical,None,None,nb,impute_mode
adult,age,3017,5,0.6,0.4,0.0043,120808,0.0225,0.0215,3.9018,0.0,0.0894,-0.0778,numerical,38.7978,13.0882,dt,impute_median
adult,age,3017,5,0.6,0.4,0.0043,120808,0.0225,0.0215,3.9018,0.0,0.0894,-0.0778,numerical,38.7978,13.0882,lr,impute_median
adult,age,3017,5,0.6,0.4,0.0043,120808,0.0225,0.0215,3.9018,0.0,0.0894,-0.0778,numerical,38.7978,13.0882,knn,impute_median
adult,age,3017,5,0.6,0.4,0.0043,120808,0.0225,0.0215,3.9018,0.0,0.0894,-0.0778,numerical,38.7978,13.0882,nb,impute_linear_regression
adult,fnlwgt,3017,5,0.6,0.4,0.0043,120808,0.9486,0.0,7.9385,0.0,0.0894,-0.0778,numerical,189975.0384,103069.626,dt,impute_knn
adult,fnlwgt,3017,5,0.6,0.4,0.0043,120808,0.9486,0.0,7.9385,0.0,0.0894,-0.0778,numerical,189975.0384,103069.626,lr,no_impute
adult,fnlwgt,3017,5,0.6,0.4,0.0043,120808,0.9486,0.0,7.9385,0.0,0.0894,-0.0778,numerical,189975.0384,103069.626,knn,impute_random
adult,fnlwgt,3017,5,0.6,0.4,0.0043,120808,0.9486,0.0,7.9385,0.0,0.0894,-0.0778,numerical,189975.0384,103069.626,nb,no_impute
adult,capital-gain,3017,5,0.6,0.4,0.0043,120808,0.0196,0.0287,0.551,0.0,0.0894,-0.0778,numerical,1133.2688,7665.4624,dt,impute_median
adult,capital-gain,3017,5,0.6,0.4,0.0043,120808,0.0196,0.0287,0.551,0.0,0.0894,-0.0778,numerical,1133.2688,7665.4624,lr,impute_linear_regression
adult,capital-gain,3017,5,0.6,0.4,0.0043,120808,0.0196,0.0287,0.551,0.0,0.0894,-0.0778,numerical,1133.2688,7665.4624,knn,impute_standard
adult,capital-gain,3017,5,0.6,0.4,0.0043,120808,0.0196,0.0287,0.551,0.0,0.0894,-0.0778,numerical,1133.2688,7665.4624,nb,impute_linear_regression
adult,relationship,3017,5,0.6,0.4,0.0043,120808,0.002,2.5588,1.4709,0.0,0.0894,-0.0778,categorical,None,None,dt,no_impute
adult,relationship,3017,5,0.6,0.4,0.0043,120808,0.002,2.5588,1.4709,0.0,0.0894,-0.0778,categorical,None,None,lr,no_impute
adult,relationship,3017,5,0.6,0.4,0.0043,120808,0.002,2.5588,1.4709,0.0,0.0894,-0.0778,categorical,None,None,knn,no_impute
adult,relationship,3017,5,0.6,0.4,0.0043,120808,0.002,2.5588,1.4709,0.0,0.0894,-0.0778,categorical,None,None,nb,impute_standard
soybean,date,249,5,0.0,1.0,0.6305,10088,0.0281,0.5331,1.8671,nan,nan,nan,categorical,None,None,dt,impute_logistic_regression
soybean,date,249,5,0.0,1.0,0.6305,10088,0.0281,0.5331,1.8671,nan,nan,nan,categorical,None,None,lr,impute_mode
soybean,date,249,5,0.0,1.0,0.6305,10088,0.0281,0.5331,1.8671,nan,nan,nan,categorical,None,None,knn,no_impute
