percentage,method,precision,recall,f1
50,hst,0.9597145488029466,0.3573632779015944,0.5207995003123048
50,z,1.0,0.0103261337234317,0.0204411889958265
50,lof,0.912291686735382,0.5432980523764449,0.6810247191011236
50,iforest,0.9978213507625272,0.302154146229527,0.4638485248789079
50,hst,0.9570104815433692,0.3614146803201101,0.5246830040184055
50,z,0.9974489795918368,0.0111202753050254,0.0219953309144094
50,lof,0.9125011946860364,0.5430732914308467,0.6809064489097296
50,iforest,0.998954372623574,0.2988822843491368,0.4601037630524726
50,hst,0.9551629426174746,0.3659452234009271,0.5291577562099029
50,z,0.9874371859296482,0.0112398112398112,0.0222266210445946
50,lof,0.9148662183431104,0.5486057486057486,0.6859043123793177
50,iforest,0.9970411377302664,0.2987558987558987,0.4597508912459838
50,hst,0.9543878166465621,0.36204776204776207,0.5249538659312861
